id,title,popularity,imdb_id,averageRating,num_votes,title_type,start_year,tags
18,The Fifth Element,52.353,tt0119116,7.6,514157,movie,1997, sci-fi fantasy adventure action thriller new-york-city flying-car taxi egypt race-against-time saving-the-world cyborg dystopia anti-hero stowaway space-travel arms-dealer alien-life-form end-of-the-world priest shootout police-chase cab-driver cyberpunk archaeologist space-opera military opera-singer futuristic-city ancient-evil cruise-liner elemental hieroglyphics spaceship good-versus-evil alien-robot amused unintentionally humanity task young ensure key taxi survival 2257 driver saving girl
19,Metropolis,25.104,tt0017136,8.3,188025,movie,1927, drama sci-fi future metropolis class-society man-vs-machine underground-world tower-of-babel based-on-novel-or-book inventor dystopia delirium mad-scientist prophet steampunk grim-reaper robot destruction silent-film expressionism seven-deadly-sins depravity mob-justice downtrodden saviour social-unrest german-expressionism mediator sharply futuristic rich poor divided differences meets prophet son mastermind savior coming city predicts mediate
20,My Life Without Me,14.748,tt0314412,7.4,25974,movie,2003, romance drama dying-and-death daughter farewell night-shift secret-love parent-child-relationship responsibility woman-director dies live mother creates list family months things fatally illness telling ill
22,Pirates of the Caribbean: The Curse of the Black Pearl,184.873,tt0325980,8.1,1229554,movie,2003,pirates of the caribbean collection fantasy action adventure blacksmith east-india-company gold exotic-island governor skeleton jamaica british-empire pirate swashbuckler 18th-century caribbean-sea aftercreditsstinger pirate-ship british-navy tortuga based-on-theme-park-ride locate elizabeth rescue mysterious pirate crew turner royal pillaged jack free ship pearl asks black process port attacked daughter capturing loves governor swann woman william sparrow
24,Kill Bill: Vol. 1,44.34,tt0266697,8.2,1214167,movie,2003,kill bill collection crime action thriller martial-arts japan kung-fu showdown coma sword asia yakuza bride sword-fight revenge vigilante female-yakuza animated-scene wedding samurai-sword eye-patch retribution somber audacious pessimistic film-in-chapters plot assassination employer shot ruthless members circle assassin vengeance lives
25,Jarhead,18.089,tt0418763,7.0,210194,movie,2005,jarhead collection biography war drama california gulf-war saudi-arabia petrol marine-corps kuwait based-on-memoir-or-autobiography u.s.-marine anti-war desert-storm harsh desire action forced girlfriend eager film gulf putting fight arduous swofford mental kill war boot state experience jarhead cheating struggles increases persian camp stay deteriorates marine possibility unit anthony
27,9 Songs,26.815,tt0411705,4.7,24259,movie,2004, music romance drama london england concert rock-n-roll sexuality orgasm cocaine blow-job man-woman-relationship condom love sexual-fantasy pubic-hair breast ejaculation american couple desire sexual-desire cunnilingus naked exchange-student rock-concert british-man nude drug small-tits woman-tied-to-a-bed sex sexual vulva rock unsimulated-sex intense erect-penis small-breasts vast pursue pole silent mobbed recalls brixton london live affair inevitable songs academy unfold night bed south concert glaciologist period young love mutual months counterpoint icebound music matt immensities passion soars lisa meet rock sexual hall stages
28,Apocalypse Now,53.56,tt0078788,8.4,719821,movie,1979, mystery war drama guerrilla-warfare epic vietnam-war journalist mission vietnam vietcong central-intelligence-agency-(cia) cambodia army drug-abuse based-on-novel-or-book secret-mission insanity surrealism tribe green-beret jungle descent-into-madness brutality riverboat military anti-war colonel officially beret walter locate army mysterious benjamin personal illegal willard missions war named height vietnam captain mission green guerrilla kurtz goal enemy dangerous territory exist eliminate leading
33,Unforgiven,26.87,tt0105695,8.2,441650,movie,1992, drama western prostitute sheriff right-and-justice regret wyoming usa kansas usa revenge mutilation one-last-job reputation 19th-century englishman pig-farmer retired sheriff hog greenhorn hunter ruthless bounty killer men cocky munny corrupt children mission motherless brutalized support takes gentle farmer turned widower partner prostitute william joined accepts
35,The Simpsons Movie,65.895,tt0462538,7.3,353066,movie,2007, comedy animation adventure family garbage pollution quarantine environmental-protection-agency parent-child-relationship villain dysfunctional-family dysfunctional-marriage fugitive ecology first-love angry-mob duringcreditsstinger dome wanted based-on-tv-series lighthearted homer town declared dome supply water encased gigantic pollutes accidentally fugitives simpsons epa springfield
38,Eternal Sunshine of the Spotless Mind,65.763,tt0338013,8.3,1094079,movie,2004, drama romance sci-fi new-york-city regret jealousy deja-vu amnesia dream operation relationship-problems love memory brainwashing relationship heartbreak nonlinear-timeline 2000s sentimental appreciative procedure memory fade girlfriend erase mistake barish realises watches memories heartbroken decides correct loves late joel underwent
294963,Bone Tomahawk,20.376,tt2494362,7.1,123634,movie,2015, horror drama western rescue sheriff prisoner ambush poison redemption wilderness gore tribe native-american rifle murder decapitation drifter scalping cannibal captive posse neo-western civil-war-veteran burial-ground cave-dwellers horror-western brutal-violence foreman town hunt sheriff tribe local doctor injures prisoner wife men night search shootout stranger disappear suspicious attacked arrow saloon prison cannibal assistant
98357,Broken City,19.278,tt1235522,6.1,83906,movie,2013, crime action thriller drama politics mayor investigation ex-cop revenge double-crossed private-detective cop broken relentless justice powerful redemption injustice toughness rife streetwise framed billy worst force mayor nightmare crossed pursuit taggart figure unstoppable seeks double city matched revenge
55,Amores Perros,24.259,tt0245712,8.0,255538,movie,2000, thriller drama daughter secret-love homeless-person mexico-city mexico money dog-fighting dog nonlinear-timeline multiple-storylines new-mexican-cinema man people mexico dog sets supermodel seemingly instigated catapulted unforeseen inconsequential chain wanting young law car homeless events destiny city fatalistic crash sister lives situations
1081400,The Mill,27.472,tt26569323,5.4,3301,movie,2023, mystery horror drama sci-fi businessman prison-cell prison-escape corporate-world management near-future grist-mill situated work escape forced cell idea air open beast ancient burden grist alive wakes center businessman child stay prison birth
32823,Get Him to the Greek,15.767,tt1226229,6.3,186500,movie,2010, music comedy adventure london england concert musician los-angeles california aftercreditsstinger sinking record monumental idol perfect aaron star company plan dropped aldous faced radar concert comeback control intern task green bringing featuring pinnacle rockstar records fading years track rock snow
58,Pirates of the Caribbean: Dead Man's Chest,129.102,tt0383574,7.4,778130,movie,2006,pirates of the caribbean collection fantasy action adventure witch daughter ship east-india-company exotic-island bondage monster captain fortune-teller compass sword-fight pirate cannibal swashbuckler kraken aftercreditsstinger based-on-theme-park-ride incredulous works ghostly jack jones blood captain davy eternal debt avoid damnation sparrow
59,A History of Violence,25.85,tt0399146,7.4,257104,movie,2005, crime action thriller drama small-town hero robbery indiana usa distrust philadelphia pennsylvania dual-identity double-life fight identity self-defense marriage diner mistaken-identity based-on-comic family-relationships irish-mob revenge mobster lawyer attempted-robbery based-on-graphic-novel diner average father seemingly defense murder spotlight family thrust commits
62,2001: A Space Odyssey,57.944,tt0062622,8.3,730182,movie,1968,the space odyssey series mystery adventure sci-fi man-vs-machine moon jupiter artificial-intelligence-(a.i.) based-on-novel-or-book technology super-computer space-travel space-mission moon-base astronaut evolution monolith space-station space-opera 2000s super lunar sets advanced humanity mysterious surface buried computer hal origins finds beneath object 9000
63,Twelve Monkeys,32.595,tt0114746,8.0,652765,movie,1995, mystery thriller sci-fi biological-weapon philadelphia pennsylvania schizophrenia stockholm-syndrome airplane world-war-i underground insanity asylum paranoia prison-cell dystopia pimp lion post-apocalyptic-future time-travel florida-keys mental-breakdown past dormitory insane-asylum cockroach volunteer drug-use flashback remake psychiatric-hospital jail mental-institution alternate-history disease lethal-virus paradox psychiatrist monkey epidemic trapped falling-down-stairs street-life nonlinear-timeline medical-research tooth pantyhose gas-mask psychosis childs-point-of-view subterranean virus mysterious recurring-dream 1990s reflective escaped-animal future-noir 2030s complicated ominous famous reluctantly jeffrey patient 2035 origin year cole forced underground convict goines army wiped 1990 hospital mysterious 1996 responsible disease volunteers railly killer communities virus mental survivors meets expert population rogue son hold deadly time key 12 kathryn locked mistakenly unleashing group james discover arrested monkeys thought psychiatrist earth
491584,Burning,21.101,tt7282468,7.4,78375,movie,2018, mystery thriller drama fire jealousy dream countryside love-triangle cat sex-shop sadness sunlight suspicion greenhouse love arson writer class-differences based-on-short-story burning metaphor meditative mysterious dance-ritual complex rural-setting sunsets return-to-hometown seoul south-korea understated childhood-memories the-great-gatsby disappearing man pick high airport returning school aspiring writer africa friend trip disheartened
65,8 Mile,31.905,tt0298203,7.2,327158,movie,2002, music drama individual adolescence rap-music hip-hop rhyme-battle trailer-park street-gang ethnic-stereotype rapper ghetto single detroit michigan semi-autobiographical 1990s battle-rap smith chance dreams daily moment extraordinary hope fight detroit personal born jimmy alive life wages place struggle feeding music rhymes voice rule scene earn legends vibrant
66,Absolute Power,14.341,tt0118548,6.7,60945,movie,1997, crime action drama daughter rape assassination usa-president washington-dc usa government corruption the-white-house politics secret-service u.s.-secret-service-agent forced convict master murder house involved coincidentally eyes president united occurs holding robbing states evidence thief
64,Talk to Her,15.568,tt0287467,7.9,118342,movie,2002, mystery romance drama dying-and-death journalist friendship suicide rape coma bullfighting spain sexual-abuse madrid spain pregnancy car-crash matador-(bullfighter) hospital share friendship deep women care comas men odd
68,Brazil,14.973,tt0088846,7.8,213065,movie,1985, comedy drama thriller sci-fi dream government bureaucracy police-state great-britain technology dystopia office dark-comedy satire surrealism steampunk terrorism bombing job-promotion repairman christmas man identities recurring daydream wrongful innocent mistaken death day escapes beautiful damsel investigating wanted caught low bureaucracy harry meets mindless arrest monotony level life led web lowry sam tuttle terrorist bureaucrat woman hero saving lies virtuous eventual case
69,Walk the Line,19.106,tt0358273,7.8,268588,movie,2005, biography music romance drama prison adultery concert music-record country-music guitar germany loss-of-loved-one marriage biography single biting accident 1960s apathetic condescending cruel recorded memphis rise carl farm lee elvis alongside days presley country life arkansas cotton chronicle sun records jerry fame lewis music johnny perkins early cash legend
70,Million Dollar Baby,28.664,tt0405159,8.1,729354,movie,2004, sport drama dying-and-death transporter strong-woman stroke-of-fate advancement fight suicide-attempt boxer training tragedy female-protagonist brutality boxing-trainer unlikely-friendship female-boxing knockout euthanasia determination enter estrangement boxer frankie trainer determined prepared fitzgerald dunn convince despondent life cohort daughter painful pro maggie
71,Billy Elliot,20.058,tt0249462,7.7,145162,movie,2000, music comedy drama dancing friendship dream dancing-class northern-england workers-quarter strike small-person homophobia hope mentor sadness socialism youngster letter ballet-dancer street-riots coming-of-age ballet young-boy cross-dressing crying single-father audition dance-class retrospective lgbt revolt ballet-school emotional-vulnerability helping-children smart-kid street-kid dance-teacher 1980s miners-strike father-son-relationship 80s-throwback ballet-dancing gay-theme late-20th-century teen-playing-kid ya generational-divide boxing year police 11 miners starting conflict lower england london upcoming bethnal class day club stumbles leaving billy wilkinson audition caught royal strike war ballet naturally county middle elliot suffering practices school green coming newcastle finds classes 1984 teacher durham talented tyne started
163907,The Villain,10.562,tt0080097,5.3,7923,movie,1979, comedy western chase train explosion glue cowboy wild-west people ambush handsome charming cactus hires agreed father avery good jack collect inheritance jones stranger escort money notorious simpson robbing outlaw
73,American History X,29.539,tt0120586,8.5,1201237,movie,1998, crime drama prison neo-nazism rape skinhead sibling-relationship swastika brother fascism jail school los-angeles california family xenophobia interracial-friendship nazism racial supremacist brother contact learn gang determined paroled actions greatly severs white derek danny men african path reformed killing narration committed serving violent american skinhead influenced years acts vineyard 3 prison crime leader fresh
74,War of the Worlds,37.271,tt0407304,6.5,480744,movie,2005, thriller action adventure sci-fi daughter new-jersey post-traumatic-stress-disorder-(ptsd) airplane based-on-novel-or-book underground dystopia alien remake survival disaster apocalypse creature alien-invasion cynical nostalgic disturbed human-subjugation frantic anxious dreary dramatic suspenseful intense foreboding frightened rare powerful weekend touches perfect father husband ferrier wife dockworker storm young son ray daughter visit divorced lightning teenage strange drop
75,Mars Attacks!,23.862,tt0116996,6.4,246820,movie,1996, fantasy comedy sci-fi usa-president the-white-house planet-mars saving-the-world cataclysm total-destruction laser-gun ambassador congress flying-saucer dark-comedy parody based-on-comic alien creature alien-invasion horror-comedy outer-space absurd military major extraterrestrial visitors receives claim humanity cities peaceful retaliation martian annihilation men scale professor nuclear spacecraft congress mission fleet peace exchange surrounds assurance waits friendly president science donald total james dale ends kessler martians
76,Before Sunrise,32.953,tt0112471,8.1,346183,movie,1995,before... collection romance drama sunrise talking soulmates walking austria vienna austria semi-autobiographical pretentious man night wind young spending vienna woman meet europe train evening
77,Memento,27.76,tt0209144,8.4,1340807,movie,2000, mystery thriller drug-dealer amnesia insulin tattoo waitress insurance-salesman motel manipulation flashback confusion revenge murder memory-loss psychological-thriller whodunit los-angeles california polaroid based-on-short-story nonlinear-timeline individuality phone-call neo-noir reverse-chronology man rare murdered accident tracking compounded memory happened remember suffers wife short killer untreatable loss details difficulty raped term life locating leonard minutes ago form shelby recall fact
78,Blade Runner,46.371,tt0083658,8.1,833547,movie,1982,blade runner collection action drama thriller sci-fi android flying-car bounty-hunter artificial-intelligence-(a.i.) genetics based-on-novel-or-book dystopia futuristic fugitive cyberpunk los-angeles california alcoholic tech-noir neo-noir blade-runner 2010s escaped blade retirement rick called short deckard choked creator angeles earth runner life spans seeking terminate smog quartet replicants extend dystopian 2019
852046,Athena,26.114,tt15445056,6.8,22976,movie,2022, thriller action adventure drama nan unexplained brother tragic siblings chaos death youngest circumstances thrown hours lives
327753,My Mother's Friend,24.226,tt0071131,4.5,150,movie,1975,l'amica di mia madre collection comedy italy crush horny hot-girl escaped phone clothes movie monkees husband skimpy showering closes villa dresses separated son staying changing miniskirts bikinis door stay appears voice friend woman surprisingly falls rarely goofy
81,Nausicaä of the Valley of the Wind,22.192,tt0087544,8.0,185583,movie,1984, fantasy animation adventure sci-fi future airplane saving-the-world human-vs-nature fungus-spores post-apocalyptic-future giant-insect toxic based-on-manga ecology anime kingdom bond restore people powerful global guard remains jungle humanity princess epic wind untouched war strongholds nausicaä seaside insects engage struggle poisonous valley courageous led earth
82,Miami Vice,18.415,tt0430357,6.1,125292,movie,2006, crime action thriller drama florida miami florida undercover hostage fbi remake drug-cartel drug-dealing police-detective urban-setting police-investigation havana cuba speedboat\\xa0 asian-woman criminal-organization action-hero duo neo-nazis crime-solving-duo tubbs assault detectives lords drugs sonny unorthodox personal drug wife deals murder trafficker south chinese florida involved crockett takes arms loves romantically turn undercover cuban ricardo involving case
80,Before Sunset,13.995,tt0381681,8.1,292796,movie,2004,before... collection romance drama journalist talking soulmates walking paris france bookshop love-of-ones-life author semi-autobiographical desperate celine travels jesse reading day spent longing start feelings night wrote readings flight son finds strong vienna relationships years confess leave return book paris europe spend
79,Hero,18.196,tt0299977,7.9,188736,movie,2002, action adventure history drama martial-arts kung-fu right-and-justice countryside loss-of-loved-one patriot wuxia warring-states-period 3rd-century-bc palace king attempt claiming warring huang killed period shi prefect life qin ago china years district states assassins arrives
85,Raiders of the Lost Ark,46.084,tt0082971,8.4,1048488,movie,1981,indiana jones collection action adventure egypt treasure medallion swastika saving-the-world nepal himalaya-mountain-range cairo moses hat whip leather-jacket mediterranean ark-of-the-covenant ten-commandments nazi excavation riddle treasure-hunt archaeologist adventurer archeology religious-history 1930s dramatic excited locate covenant suited regime archaeologist jones professor tweed finds legendary hired government nazi ark indiana entire celebrated
87,Indiana Jones and the Temple of Doom,38.018,tt0087469,7.5,541128,movie,1984,indiana jones collection action adventure treasure skeleton wind elephant heart riddle crocodile bridge treasure-hunt torture india monkey archaeologist conveyor-belt child-driving-car mine-car rope-bridge splits adventurer archeology 1930s village cult palace plan stumbles terrible ancient desperate asked jones agrees secret plotting arriving stone catacombs india mystical indiana
88,Dirty Dancing,31.943,tt0092890,7.1,261346,movie,1987,dirty dancing collection music romance drama hotel daughter dancing secret-love robbery sibling-relationship summer-camp dancing-master mambo dance-performance coming-of-age teenage-crush teenage-girl doctor class-differences family-holiday sensuality summer-romance catskill-resort playful romantic audacious tedium year houseman surprised professional summer baby falling unexpectedly shoes love accompanies usual family frances hoofer catskills expecting stepping 17
89,Indiana Jones and the Last Crusade,42.278,tt0097576,8.2,820079,movie,1989,indiana jones collection action adventure saving-the-world nazi holy-grail venice italy entrapment crusader germany riddle brotherhood zeppelin tank book-burning nazi-officer boat-chase gestapo single-father traveling-circus archaeologist bible-quote medieval boy-scouts german-soldier motorcycle-chase hindenburg german-agent 1930s biblical-archaeology father-son-relationship adolf-hitler german-language knights-templar nazi-germany the-crusades appeals henry historian notebook missing academic clues brody medieval sallah art enlists rescue sets venice father archaeologist grail nazis elsa eminent collector indiana man holy beautiful learns life indy embark mailed 1938 searching jones recovering search schneider eternal power arrives vanished marcus
90,Beverly Hills Cop,30.783,tt0086960,7.4,218214,movie,1984,beverly hills cop collection crime comedy action showdown drug-smuggling undercover cocaine strip-club gunfight mansion los-angeles california foot-chase art-gallery detroit michigan warehouse childhood-friends murder-investigation beverly-hills black-cop buddy-cop buddy-comedy country-club maverick-cop narcotics-detective damsel-in-distress bar-fight bearer-bonds mischievous detective-comedy food-delivery hilarious cop work murdered talking sunny axel regs detroit street thinking bent beverly time friend fast rules foley quick hills heads case
83,Open Water,11.331,tt0374102,5.8,57133,movie,2003,open water collection horror adventure thriller drama cataclysm diving red-sea primal-fear nightmare panic scuba-diving shark scuba sea left boat miles underneath water divers
1146972,Mobile Suit Gundam SEED FREEDOM,35.74,tt14759062,6.9,736,movie,2024, sci-fi animation adventure drama action mind-control sequel love free-will eugenics genetic-engineering anime real-robot based-on-tv-series gundam calm independence proposes global intervene monitoring foundation stronghold called kira movements battles continues newly aggression members comrades cosmos 75 fighting nation peace order lacus president operation blue situation regional agency joint compass established
86,The Elementary Particles,9.645,tt0430051,6.6,8328,movie,2006, romance drama berlin germany based-on-novel-or-book unsociability hippie sexual-obsession free-love swinger-club nudist-camp teacher cancer scientist male-virgin reproduction sexual-problems particles michel hippie aka christiane youth sexuality affairs based mother molecular desires disturbed focuses satisfaction elementary chaotic meets love life controversial houellebecq brothers genes women finds half childhood atomised biologist caring sexual prostitutes michael bruno interested obsessed annabelle experienced
93,Anatomy of a Murder,16.289,tt0052561,8.0,72890,movie,1959, mystery crime drama adultery jealousy rape based-on-novel-or-book court-case michigan judge hays-code jazz jurors trial lawyer courtroom murder-trial courtroom-drama town murdered army rests retired manion lawyer local parries michigan set dancer mysterious extensive victim innkeeper hiding wife free biegler prosecutor secret business client raped paul dark takes claude semi claimed attorney district partner trial lodwick case
95,Armageddon,41.273,tt0120591,6.7,456463,movie,1998, thriller action adventure sci-fi daughter race-against-time space-marine moon washington-dc usa saving-the-world cataclysm paris france asteroid self-sacrifice nasa loss-of-loved-one natural-disaster u.s.-air-force end-of-the-world space disaster wedding astronaut duringcreditsstinger disaster-movie heroic-mission daring-rescue space-centre threatens space cocksure thinks drill driller good renowned stamper truman determines helm crew surface agrees leads detonate nuclear harry bring mission dan daughter dangerous provided hotshot proves nasa bomb honcho collide asteroid earth
96,Beverly Hills Cop II,29.537,tt0092644,6.6,139976,movie,1987,beverly hills cop collection crime comedy action police arms-smuggling intensive-care undercover detective investigation armored-car strip-club sequel shootout gunfight los-angeles california detroit michigan horse-track beverly-hills black-cop buddy-cop credit-card-fraud narcotics-detective playboy-mansion shooting-range robbery-gang superdetective detective-comedy ferrari amused masterminded police rosewood robberies sgt trees axel andrew series heartless palm shooting alphabet investigate det weapons returns land captain kingpin sunshine fatal taggart chase uncover foley bogomil
97,Tron,17.537,tt0084827,6.7,130838,movie,1982,tron collection action adventure sci-fi hacker video-game virtual-reality dystopia simulation super-computer utopia computer-simulation simulated-reality based-on-video-game arcade-game light-cycle flynn game astonishing security measure wits hacks employer tron video master teams cyberspace digital control environment bring maniacal designing mission inside matches created balance program brilliant beamed maker mainframe
98,Gladiator,90.986,tt0172495,8.5,1655308,movie,2000,gladiator collection action adventure drama epic gladiator rome italy arena senate roman-empire parent-child-relationship emperor slavery ancient-rome revenge battlefield slave-auction historical-fiction ancient-world combat chariot philosopher barbarian-horde 2nd-century successor commodus maximus executed year 180 empire commodus forced army battle capable gladiator set captured chaos death escapes audiences spaniard maximus men traders roman son trusted throne key emperor throws devious ascends advisor amusement slave paying aurelius renamed generals marcus
101,Léon: The Professional,48.361,tt0110413,8.5,1264541,movie,1994, crime action drama hotel-room new-york-city immigrant assassin police-brutality corruption s.w.a.t. hitman loss-of-loved-one training revenge murder loneliness neighbor tragic-love city-life neo-noir complex-relationship suspenseful cannon man mathilda dea year long wiped loose thoughts earned considers hit footsteps rep unwilling york effective cleaner 12 custodian agent turn léon door revenge neighbors
102,Open Hearts,11.317,tt0315543,7.5,11047,movie,2002, romance drama individual secret-love denmark chance paraplegic broken-engagement wedding-vows sense-of-guilt car-crash hospital relationship divorce extramarital-affair disabled woman-director spin married disabled works accident marie hospital cecilie husband freak joachim meets love family car throwing lightly madly leaves driver falls niels lives
103,Taxi Driver,47.768,tt0075314,8.2,938959,movie,1976, crime drama drug-dealer vietnam-veteran new-york-city taxi pornography obsession taxi-driver pimp firearm politician alienation junk-food misanthrophy vigilante illegal-prostitution character-study loner manhattan new-york-city neo-noir child-prostitution new-hollywood drives perceived action works mentally decadence sleaze veteran night war urge vietnam unstable york violent time taxi city driver feed
104,Run Lola Run,16.848,tt0130827,7.6,209729,movie,1998, crime action thriller drama daughter race-against-time berlin germany homeless-person casino red-hair nun supermarket ambulance subway money fate time-loop dm lost subway receives alternatives happen phone minor lola store manni 000 belongs depending 20 raise rob money boyfriend minutes event bad meet 100 guy train
105,Back to the Future,70.46,tt0088763,8.5,1331011,movie,1985,back to the future collection comedy adventure sci-fi flying-car race-against-time clock-tower car-race lightning guitar plutonium inventor journey-in-the-past invention time-travel bullying mad-scientist love fish-out-of-water terrorism teenage-love destiny nostalgic hidden-identity teenage-life changing-the-past-or-future 1950s playful suspenseful enthusiastic exhilarated optimistic cientifico-loco romance doc romantic eccentric attracting parents 1985 mcfly mother 1955 eighties teenager disrupting rekindling accidentally inadvertently meeting time brown repair return history friend damage marty inventor
106,Predator,65.096,tt0093773,7.8,463728,movie,1987,predator collection horror sci-fi adventure action thriller guerrilla-warfare central-and-south-america predator trap alien survival stalking creature alien-invasion invisible commando furious violence suspenseful hilarious central extraterrestrial hunted elite team jungle secret mission american warrior commandos
107,Snatch,28.79,tt0208092,8.2,922158,movie,2000, crime comedy robbery trailer-park england gypsy gambling bare-knuckle-boxing slang antwerp pig gangster boxer underground-fighting diamond-heist pikey boxing promoters amateur fight diamond gangster bookmakers jewelers priceless jewish stolen violent supposedly track incompetent russian unscrupulous robbers
108,Three Colors: Blue,15.803,tt0108394,7.8,112113,movie,1993,three colors collection music mystery drama paris france composer pain to-compose loss-of-loved-one complex famous existence kills humans accident including husband explores wife shakes unbreakably identity freedom composer finds suspected daughter mistress newfound survives car bound
109,Three Colors: White,25.361,tt0111507,7.6,80837,movie,1994,three colors collection mystery comedy romance drama hairdresser sexual-frustration businessman funeral love poland enlists homeland losing french forced karol expatriate smuggle divorces wife polish impotence country business fellow mikołaj months owned immigrant finds dominique marriage job france leave jointly
110,Three Colors: Red,17.76,tt0111495,8.1,111394,movie,1994,three colors collection mystery romance drama infidelity judge isolation shadowing english-channel geneva switzerland weather-forecast retiree dog surveillance prediction unlikely-friendship the-color-red love-destiny fashion-model inspirational enchant runs discovers bond dog student phone retired valentine geneva owner judge troubled develops change caught wiretapping calls middle eavesdropping model struggles family closer life boyfriend finds illegally events strange outraged possessive neighbors
111,Scarface,73.121,tt0086250,8.3,932215,movie,1983, crime action drama corruption sibling-relationship miami florida cuba loss-of-loved-one gangster cocaine rise-and-fall remake drug-cartel mafia drug-lord bitterness rise-to-power miami-beach cuban-refugees drug-war frightened inflammatory trade police downfall colombian stakes claim flames cocaine paranoia miami tony stands drug murdering fuel cartels state lord increased green card assassinating wars viciously exchange eventually serve government fueled montana official controlling biggest pressure cuban eventual
112,Italian for Beginners,10.015,tt0243862,7.0,14015,movie,2000, comedy romance drama hotel daughter depression friendship waitress venice italy hairdresser italian copenhagen denmark adult-education-center language-course parent-child-relationship priest church woman-director dogme-95 romance town suburb shared students provincial film lonely movement complies beginner 95 family unspools italian platform connections semi dogme denmark principles meet drama hearts lives aesthetic
131183,Female Teacher: Dirty Afternoon,5.108,tt0216843,6.0,103,movie,1981,female teacher collection drama pink-film erotic-movie discovers phone mask smell answers thinner sueko inadvertently sakiko barely ski sex teacher nylon strangers receives kurata requested remembers memories family destroyed ago painful strange man town secretive students minx accused moved prostitute payment awakens search young violently paint assaulted years seduces future random
